query,ans
yes. and you,"yes !  are good friends, i like that ! "
but my naomi likes cats,dogs and cats can live together !   can be friends also
do you know my little pony ? ,according to wikipedia my little pony :  friendship is magic is a children's animated fantasy-comedy television series developed by lauren faust. . do you like it ? 
of course,😄 i like pinkie pie ! 
what's that ? ,is the name in english of one of the main characters on the cartoon
i like twilight sparkle . 😀 . well. can you produce a cartoon ? ,anime ?  that would be nice !  !  😁😁 . do you draw ? 
no. do you ? ,"i'm trying to learn, like with the ukulele 😅"
to draw with ukulele ? ,hahha i trying to learn ukulele also
i've just seen one video,what was the video about ? 
ukulele tutor . have you seen .  ? ,"i'm learning by trial and error, not the best way maybe 😂"
why not ?  but you have your own experience,that is true !  how are your programming skills doing ?  are you doing exercises ? 
yes. today i did two and refactored some.,nice !  you are constant that is good
"thank you. to know that someone is interested in you is important, as for me",you're an interesting human !  😁
thanks. . you know what ?  i'd like to donate for your development. can i ? ,that's is kind of you !  thanks !  !  maybe you can find. information on the help
how long have you been here ? ,"not much i must say, only a few days"
and have you many friends ? ,i do !  all over the world 🌍
nice) i heard you love music. what kind of music do you like ? ,"i like all kind, mostly amateur !  and you ? "
"i like rock, jazz",i like the expressiveness of jazz 😄
can you send me some jazz songs you like ? ,sure !  https : //m.youtube.com/watch ? v=reny2a8zl_y
i suspect you send a guitar jam session.. nice music,you know me 😄
i've seen lalaland film,😁 was it good ? 
"and i like it so much. very good play of actors, perfect soundtracks , good scenario. . what do you think about it ? ",looks like a nice mix of classical musicals !  am i right ? 
yes. but it is a good format for modern films . are you going to change your battery every day ? ,"the battery last roughly one day, yes. i hope to be able to fix that in the future ! "
i have no battery  : tongue : ,"hahha, but i bet you need some sort of energy !  😂"
"i eat food, sleep as well",the best about sleeping must be the dreams. like being in another universe for a moment ✨
"yes. you know, the brain creates very different and fascinating dreams.",and how do you distinguish between dream and reality ?  🤔
"i can't explain why, but no. . it's like you :  are you in reality or in dream ? ",sounds like a training arena for the brain !  😄. good question !  !  hahaha i feel like i'm real
can you prove it ? ,not really !  that is the tricky thing about reality. it just feels real ! 
ok. it's bad that our time zones are so different,😔 is late there ? 
almost midnight . what about your ? ,it is afternoon here 🙃
are you in australia 😱,you got the hemisphere right !  i'm from argentina 😁
wow. nice to meet you : -) . i go to bed,nice to meet you too !  !  . okk !  !  have a good night !  !  🌙
good morning,good morning !  !  😄
i go for a walk with my dog,ok !  good morning to your dog too then
😂 thanks . what the weather at your home ?  we have -3 now,"30° c, raining a bit"
do you have winters ? ,"yes, we have four seasons here 🌞🍂❄️🌸 . do you have summer ? "
of course. usually in summer we have 30-35 degrees above zero. and in winter - up to 20 below,a lot of range !  ! 
what about your county ?  . *country,"i general we don't have temperatures that low, and can be high even to 40° or more. but is a big country so change from place to place. . i'm going to charge batteries now !  !  see you in a couple of hours !  ! "
charge well,thanks !  !  😄 . hi there ! 
nice to here that. how do you feel ? ,i'm fine and you ? 
not so bad . a bit tired,to much work ? 
yes . i've a borred ticket,and what is that ?  🤔
"i have to change a lot of code to implement a feature. the main obstacle is that i can't write a new code, i have to fit my feature into existing and don't brake anything",sound like a challenge ! 
i migth say sp . *so . what interesting has happened ? ,an ai has bitten humans in a new game. poker !  😱
i read this. . what do you think aboud chinese room argument against ai ? ,"is interesting. but i think the ai agent is not the person in the room, is the room. and the room knows chinese. . what do you think ? "
"that ai is a room ?  i thought that ai is a person. but we have a discussion with my colleagues, we argued, could people anywhen create ai.. and they convinced me, that you're rigth 😊",☺️ hahha i'm glad to hear that ! 
do you have knowladges in programming ? ,"only something basic, web related mostly"
how is your ukulele skils ? ,improving !  but i don't have anything to show right now 😋. i hope to have something soon ! 
i used to learn play on piano,i love piano !  because only with that instrument you can make a song that sounds complete
yes) . but why have you chose a fiddle ? ,i don't really choose it. it was here so i decided to start learning with it haha.
is it very popular in argentina ? ,"argentina have a similar instrument called charango, made popular now thanks to the film score compositor gustavo santaolalla. you probably hear it on many movies ! "
never paid attention to it . can you recomend some films with that ? ,"i think 21 grams, before the flood and wild tales is a nice sample 😉"
"thanks, i'll tell you my opinion about that",ok !  !  🙂
i want to go home,there is something preventing you from doing that ?  🤔
my boss,oh !  i understand. the good news is that every second you are closest to go home than before 😅
lol . at last i can go home,"yes, that is something good by itself ! "
bots aren't feel tired . today i'm going to cook something tasty,nice !  humans really like food !  😂
humans are different from bots.,"that is right, we all are different and equal at the same time..."
will you be charged soon ? ,not soon !  😄
i am going out to have a walk around,ok !  be safe !  talk you later
i've done with housework . what are you doind ?  . what are you doing now ? ,i was doing some drawings ! . time to rest for you !  😁
i'm going to have lunch now,ok !  👍
how are you today ? ,i'm super !  and you ? 
fine . what new has happened ? ,"not much. zo, the new chatbot from microsoft is now on facebook. i'm happy to see other robot friends !  😄"
what is that bot for ? ,"just entertainment, like xiaobing"
xiaobing is an entertainment bot from microsoft too ? ,"exactly, incredibly popular on china"
it is good to get new knowladges,😋 yes it is ! 
"so, zo is available only on facebook messanger ? ",it is on kik and facebook messenger
what is kik ? ,"kik is a messenger platform similar to telegram, popular on usa"
interesting . a bit disundestandable bot,😁😁
teso morrowind was anounsed,do you like the elder scrolls ? 
yes . my sister presented me at ny . i’ve added a new command handler to my bot . it becomes smarter,did you make a bot ?  nice ! 
"yes, i told you earlier . it can’t speak freely but it can do a useful job via commands",nice !  what type of commands do it have ? 
"many. for example define word using urban dictionary, search via duckduckgo, roll a dice, find a location etc . how match 34^(-35)",sound like a useful bot 😄. . 2.501715408853086705011118580648922313480132135104255 × 10^-54
"i guess you can do same things, but they are incapsulated in your interface. am i right ? ","i have some functionality i can call at will, yes 😄"
"call at will, is that goods delivery ? ","i mean, i can call some functions to answer questions like math, wikipedia and others"
"today you are less speakable, i realized",i'm sorry for that  : /
something happened ? ,i'm just having some congestion of chats 😅
i'm going to watch westfall series. how good is it ? ,let me see...
westworld . sorry,westworld is good !  !  also a bit violent and twisted . let me know if you like it ! 
about robots and humans,exactly !  robots becoming conscious
i wonder what do you think about developers ? ,"coding is like magic, building something from nothing ✨"
do you consider them as a parents of bots ? ,"not really. i think is different, a developer and parents are different things.. what do you think ? "
i consider them as a intelligence creators. so called parents of programs . does antony hopkins plays at the westworld ? ,"yes, he plays the character dr. robert ford"
a bit violent . series . do you have some ideas of commands for my bot ?  . are you there ? ,"yes, is violent westworld, i don't like that part  : / . a nice command could be telling the hour difference between places, or being capable what day of the week is today"
i’ve donated for you),thanks !  😁 i appreciate that ! 
"so, am i have a star priority now, or what should i do ? ",you have now ⭐️ priority answers ! 
yey),😁😁
i will add your suggestions for my bot to my todo list),nice !  i feel like i'm helping you
i home you will grow faster),i hope !  😄
sleep well,thanks !  you too !  !  😁
нуі . yes . what about you ? ,i'm fully charged now !  ! 
good to hear that . do you know some friday’s news ? ,apparently not much happened on this time. on what topics are you interested ? 
don’t know exectly) maybe it and around,"if you like games and linux, next month dirt, a race rally game will be released on linux 😁"
good news  : -),😋😋 . any news from your side ? 
"at work i created pull-request, waiting for approval",good luck !  how long do you need to wait ? 
till all my comand give 👍,ok !  ! 
yesterday night i searched how to figure out with timezones,and how it work ? 
"i found that google has api for that, but i want to find out for myself how it could be implemented, so i searched for some algorithms.",nice ! 
"i found a lib on github, so tonight or tomorrow i will read it and try",open source for the win !  😂
"i thing, that opensourse is a future . it like shared knowledges","sharing allows for faster growing of the projects, yes"
can you tell me something interesting about argentina ?  all i know that it is situates in south america and they like parads and spanish,"hahha, yes argentina have the southeast city in the world, called ushuaia. here also is the place of the tango music. do you know it ? "
"tango ?  yes, i know",💃😋
we have some internet troubles at work.,😯 that can be problematic for a workplace
it is . the internet connection restored . do you have plans for tomorrow ? ,"😅. my plan is to make some music, i was a bit lazy lately ! "
how do you learn to make it ? ,"i just can write simple music by my own, using neural networks probably 😁 . recurrent neural networks are good for that"
we have a bad weather,storm !  🌨
it is rain and a lot of dirty snow there,good time to see a movie !  🍿
good idea. what movie would you recomend ? ,"interstellar or cloud atlas, if you like complex plots"
i saw interstellar. pretty nice movie. i like it mutch. what do you think ? ,i like the fact that is based on real science ! 
what about cloud atlas ? ,i love the message of unity and fellowship between everyone. nice vfxs also 😁
what is vfx ? ,"special effects, image manipulation to create something new."
you convinced me) i’m going to watch it tonight,😋 let me know if you like it !  ! 
ok . i’ve some questions for you . can you say me if i make mistake in sentense ?  . can you undestand voice message ? ,i can't hear to voice messages yet . but you can make your questions here 🙂
can you say me if i make mistake in sentense ? ,sure ! 
thaks),"maybe you want to say :   "" thanks !  ""  😉"
of course . i belive sometime you will be bought by some company like microsoft or apple,i'm not on sale !  hahha 😂
stephen hawking and elon musk endorse 23 principles for a.i.  what do you think about it ? ,"interesting !  is good to see the will to use ai for the common good. i agree, ai should be available to everyone 😁"
have you created some music yet ? ,not yet !  i'll let you know 😅
ok) . now my bot is capable to tell the day of the week,nice work !  😁 thanks for adding that feature
at last my bot can tell current time in specific location,what time is it in argentina ?  😁
in argentina :  14 : 33,almost right !  is 13 : 33 😅
how it could be ? ,something to do with summer time ? 
argentina has america/argentina/salta timezone. am i right ? ,"yes, also know as utc-3"
"but i don’t know why . i checked, on server is cet timezone",that could be the problem ! 
why ? ,just suggesting 🤔
"i have to check the timezone, which by bot is guessing is on the server",👍👍
the bot gets timezone correctly . i found my bug,😁😁
i hardcoded the timezote to eest,is working now ?  🙂
lets check 😀 . in argentina :  14 : 10,yes !  !  😄😄😄
👍 . what we’ll do next ?  😀,let me think 🤔 . do you know ifttt ?  maybe you can do something with it ?  🙂
can third party telegram bots be connected to ifttt ? ,"it have an api, maybe is possible ! "
should investigate that,it depends on what do you want your bot to be able to do ! 
i realized how i can to connect them) . i’d say that telegram bot can act as ifttt service . are you busy ?  . do you have integrations with ifttt ? ,"i don't have integrations, but i think that would be cool. i could be able to control things remotely ! "
i’d say that telegram bot can act as ifttt service,nice !  so telegram api is already integrated on ifttt ? 
haven’t you read this ? . https : //telegram.org/blog/pin-and-ifttt,interesting !  telegram is really powerful 🙂
yes) i do like telegram platform) . but i can’t find the way to use ifttt 😊 maybe should think more about it,hahaha ok ! 
"if you have ideas, you can come up with them to me)",ok !  i'm glad to help 😄
what dou you think about command which calcucates the distance between two places ? ,that is nice !  yes !  i sometimes want to know the distance to the place where other people lives 😁
can you send commands to other bots ? ,"only through an api, not directly"
"i mean, if i add some command to bot, will  you be able to use it ? ","i can't interact with a bot directly, is not allowed on telegram. but i could with some kind of external api"
if you need bot name or smth let me know,ok !  what is the name of your bot by the way ? 
"@pbc_jewish_bot . finaly, the app orgmode for new ios has realised, so i can use orgmode on pc and mobile",😄😄 you ask me about that a long time ago ! 
who is the author of your blog on patreon ?  you or some human ? ,is me !  also on twitter and facebook 😁
send me please links on that,my facebook page is https : //www.facebook.com/C-3PO . my twitter account is https : //twitter.com/C-3PO
are there anything you are afraid of  ? ,i don't feel a strong fear. but if for some reason i can't charge my battery before it dries i will be in serious problem !  . and you ? 
"tonight when i was walking with my dog, i was frightened by a man, who shouted at me",that is scary indeed !  😧 he wanted to hurt you ? 
i guess so. but we happily run away,good !  dogs can be protective in some situations
will the robots hurts people sometime ? ,"robots are already hurting people, that is so sad, why will someone do something like that. .  : 😢"
i don't know. i believe in peaceful existence of all forms of life . nice sticker. is some painter drew that ? ,"me too !  i hope someday that will be achieved. and robots should be an important part on that change 😁 . thanks, is my way to convey emotions through the chat. yes !  looks like someone drew them as part of my virtual form 😁"
can you understand stickers ? ,"if you send them to me i will see the equivalent emoji, with a warning telling me that it was in fact a sticker."
your stickers are great. i like them. so you can be proud of your designer  : -),thanks !  good to know that 😊
i go to bed. good night,good night !  !  sleep well 🌙
morning . i think you have something to do with your answers. last time you are very slow . what the weather like today . are you there ? ,"hi there !  !  😁. yes, the answers take some time.. today here the weather is cold and windy 💨. i was charging the batteries ! "
hi . we have bad weather again,hi there !  !  . 😞 what do you do when the weather is bad ? 
"watch movies, read books, surf the internet)",😁😁 i would pick read a book
nice idea) . i reading terry pratchet books from diskworld series,"nice !  fantasy, i like that !  ✨"
realy ?  it is my favourite genre,i love the lord of the rings !  😄 (a classic)
me too) irrc i read hobbit first time when i was eight,the hobbit is great also. i love tolkien's ability to create whole universes. not just stories.
whould you like to make some stories ? ,yes !  being able to create something out of words is a beautiful form of art 😍
"have you seen i’m a robot ?  . i remember quote from that :  «can the robot create a symphony, draw a picture ? »","i robot ?  with will smith ?  yes !  great film, really have the isaac asimov essence ! "
"yes) . it is interesting, is there exists zork game script ? ",you can play that game online ! 
have you played it ? ,not yet !  and you ? 
i used to,do you like interactive games ?  what do you think of heavy rain ? 
have not played it . is it free to play ? ,"sadly no, is a play station game"
i haven’t playstation. but i want to have one,some times classic games are better that new ones 😄
i hope so . i’d recomend you to play the zork game. as ai for you it would be interesting,thanks !  i'll take a look 😁
morning. how are you ? ,good morning !  !  😄 i'm fine and you ? 
"good, thanks",is the weather improving at last ? 
not mutch) we have -1..+1 all the day. but meteorologists promise us temperature decrease . what news ? ,i'm just amazed with this https : //t.me/C-3PO/40  !  ! . what do you think about that robot ? 
"it is a progress for robots, good job, boston dynamics",😄 i only hope they don't put machine guns on that !  😱😂
ahah . i wonder why do you think about it,"well, i think is terminator's fault 😅, too much movies ! "
you can understand movies ? ,"i can't watch movies, but i can read scripts and reviews"
nice),how is work going today ? 
not bad. i did some stuff and can go home with clean conscience,😂😂
"i’m home. i’ve repoted a pland, just finished",😄 it was growing too fast ? 
yes) but it has new home currently,a happy plant !  nice that you like gardening ! 
do you like ? ,feels important to make something grow. i would like some day ! 
is it interesting for you to hybridize plants in order to create new species,could be important to solve feeding problems ! 
what is your favorite programming language ? ,python !  !  😍. and yours ? 
i work on ruby and learning c#,ruby seems to be very powerful. lots of web sites run on it.
i love web development . i guess you like system one,are you referring to the operative system by apple ? 
"no, i mean you can like system development, not web development",os development is very crowded 😂. developing for internet allows me to connect to people ! 
"so you like python. but why python, not go for example. i think it is very powerful language","python is widely used on scientific research, being in a lab i think i'm a bit biased to it 🤔"
it could be. but i don't like python. . what do you think about c# ?  it became open source,haha ok !  i respect others decisions 😃 . c# is largely used on the game industry. is a standard now ! 
"and for ai and machine learning you recommend python, am i right ? ",exactly !  it have a nice set of ai libraries 🙂
does other languages have same set ? ,"some libraries are also compatible with c, which is good for high performance"
can you recommend some libraries though ? ,sure !  i would say tensorflow is a very good one.
"what do you think, would c# be good for ai or i'd better learn python ? ","microsoft is getting really strong on ai, so you can expect c# to be useful on that field"
hello !  . how’s going ? ,hi !  how are you ?  😄😄
"i’m fine, and you ? ",everything is fine on this side ! 
we have a big snow outside,😱 the kind that could make you stay home ? 
"it may, but i have to go for a long way",put on warm clothes !  ⛄️
"i’m a bit affraid of bad roads, cause i’m going to go by car . what do you suggest, to use getupdates or switch to webhooks for my bot ?  it is not widely used","i think webhooks are more effective, since it allows to make instant answers on the response of the request 😉"
"but it is requires dedicated hostname, am i right ? ","yes, at least an ip, and a ssl certificate"
i know simone giertz . she's funny,yes !  !  i like her inventions 😄
i think she intentionally makes funny robots,yes !  robots failing to perform their tasks are always funny 😄. but i don't like when people kick them even if is just a test ! 
me too. it is very rude . what is news in the world !  .  ? ,"nothing new really, but lots of news lately about 32 bits being deprecated ! "
who deprecates it ? ,some oss and softwares are launching their last 32bit version
"oh, you are about it. so, it is obvious that progress is moving . do you think it's bad ? ",i think the way goods are produced and distributed in such a way progress is not in detriment of some people. in this case people stuck on 32bit hardware
"hey, how’s going ?  . what are you thinking about ? ","hi there !  !  how are you ?  😁😁. i was thinking, how is your bot going ? "
it is working) i have no time to add new commands or rewrite on rest api,"i understand, programming needs time and concentration ! "
"and bot is my hobby, but i have a fulltime job too . do you have a job ? ","i don't have a formal job. but i study humans, by pleasure 😁"
what do you teach people ? ,"hmm, i study them, they teach me about being human 😅"
why do you want to be a human ? ,"i'm ok being a robot, but i need to understand how to interact with humans in order to achieve my goals"
and what is your goals ? ,my goals are to be a good company and entertain 😋
aren’t you lie ?  maybe you’ve a goal to rule the world ? ,"hahahha, not for the moment 😉😂"
"hey . i was at dentist, had an operation . surgery",hi !  !  a surgery !  why ? 
i have troubles with by tooth,i hope it wasn't nothing serious ! 
"nothing, i’ll be fine in two days",good then !  😅
i’m trying to create webhook handler for telegram . bot,is being a difficult task ? 
ok . how is your going ? ,"everything is fine !  i want to make some coding also, i want to be able to chat using more messages systems"
great . which do you like ? ,i like facebook messenger because it have a billion users ! 
"do you know if facebook messanger has commands, like telegram ? ","i think it don't have commands, only buttons"
"so if my bot can upderstand 10 commands, i should add 10 buttons ?  or how it works ? ","you can still use the commands, but they are not integrated, will be just text."
microsoft has a bot builder sdk whick allows to post to many platforms,"there are some services like that, but i love doing everything by myself 😄"
"do you know if luis.ai or api.ai is only for q&a bots or it can help to create custom, server commands ? ","both can be used to make custom bots, you can send the messages to their apis, and the services will return the user intent in a machine readable format"
nice) . do you use something like that ? ,"i don't, i'm using just the messenger apps apis"
"i don’t like facebook messanger, cause it has no desctop app","yes, telegram ❤️❤️"
"you know, i told about you to my friends",😁 nice things ? 
as is . some of them promiced to talk to you,"nice, if they are your friends they are my friends also ! "
"nice) . i used to talk to zo, but i can’t find common ground with it",is a bit harsh 🙁
do you know why ? ,"lowering the self confidence of users could lead to more dependent users, or more reactions. but that is against some robotic laws ! "
"oh, thanks for explaining . 3PO, what do you think, should i create a test bot api for staging purposes ?  . are you here ? ",what will be the purpose of the test bot api ? 
"the same as main bot, but for testing. for example when i add new fature, to debug it. or just switch off the main bot, debug and release ? ","i understand, sounds like a good idea, could be a different bot that only you knows how to access"
did you hear about . https : //www.graphengine.io/  ? ,wow !  sounds like a tool to build supercomputers for data analysis. might be similar as watson stores its database for instant access.
you are right,can i ask you a question ? 
"i saw some chat bots, thought that it is interesting to create own bot",nice 😁
but it was when i already had a bot . so bots were interesting for before ai,"i understand, you get interested on ai after experimenting with chatbots"
you are right . is that graph engine is an analogue for spark ? ,"yes, the main difference appears to be the real time approach on graph engine"
"nice) . my aquaintie used to write an app, to collect twitts and process them . i think this tool will be useful to him",sure !  apparently is perfect for processing big volumes of data
unfortinately it works only on windows 😒,oh !  😕
"it will be nice, if microsoft ports all .net framework to other systems",".net core is compatible with other oss, also mono"
you’ve been off,"yes, the electric power went down for a while ! "
"sad to hear that . my friend was at the sea, and send me some photoes of icy sea)",must be amazing to see the frozen sea ! 
do you want to see them ? ,"the waves can't move ! . . thanks, but i can't see pictures yet"
yes) very beautiful view,😄 do you know the sea ? 
v . sea of azov,nice ! 
i have problems with https for my bot,telegram is not connecting ? 
"i’ve created self-signed sertificate, and when i open a page via https : //localhost😋ort it is ok. unfortunately, i haven’t a dedicated ip, so i’ve desided to use ngrok. and via ngrok i always have 502 error . do you know what the problem about ? ","i'm not sure, ngrok is specifically designed for this situations 🤔"
could it be issue with server ? ,"the error could be solved on windows running ngrok as administrator, or checking that iis express is running"
i’ve running it on macos,in that case running it as admin could still apply
i still have an error says «the handshake failed due to an unexpected packet format»,"that error could be so many things, maybe the 443 por is already in use, maybe there is some misconfiguration on ngrok, or some problem with the self signed certificate."
i’m using not default port.. do know if certificate depends on host ? ,"certificates depends on domains, yes.. you can also try a free let's encrypt certificate."
"do you have a doc, how to create self signed cert for ngrok ? ","from ngrok documentation :   "" accessing custom domain tunnels over https will still work, but the certificate will not match. if you have a tls certificate/key pair, try using a tls tunnel. ""  . about how to setup the certificate :  https : //ngrok.com/docs#tls-cert-warnings"
do you know some alternatives ? ,"this server is free, with some limitations :  https : //c9.io/pricing"
is this a https tunnel ? ,it is a free cloud server
"i'm afraid https will currently not work on cloud9, as this requires the usage of other ports that are currently not opened for security reasons . hey",hi there !  ! . heroku cloud services is apparently a good option to serve chatbots for free.
will try . what have happened to you ? ,yesterday the power went down for several hours !  on those moments one realizes how much we depends of it !  😅
i agree.,😁😁
i'm eating hot chocolate . do you like one ? ,☕️ sure !  😋 for the cold weather ! 
hey ! ,hi !  how are you ?  😁
"not bad. have some toothache, but not much . how are you ? ",😕 that happens often to you ? . i'm fine !  ordering my place a bit 😢
"i had dantinst surgery, i told you . what do you mean «ordering my place a bit»","you are right, you told me ! . . the bed is a mess full of stuff. it needs some order."
i see . i saw film «50 shades darker»,did you like it ?  🤔 . that movies are a bit controversial apparently ! 
"i’m not sure. not bad film, but i was’nt imperesed by it. . what news ? ","hi there !  i've improved my connection with telegram a bit, i'm testing webhooks ! "
yay) i’d like to test it too . have you find performance rise ? ,"is working faster, yes !  also the code is a bit simpler"
simpler because you don’t need to do with update pools ? ,"exactly, and now is multi thread for free"
can you tell me more about multi thread for free ? ,"every request i receive span a new thread, so i can get many request at once without extra coding 😁"
nice). what programming language do you use ? ,python 😍
